game_date,player_name,batter,pitcher,outs_when_up,inning,hc_x,hc_y
2024-09-14,William Contreras,661388,700270,2,9,191.84,44.71
2024-08-20,Brayan Rocchio,677587,661563,0,4,153.05,39.48
2024-04-14,Jose Altuve,514888,543135,1,3,14.42,91.05
2024-07-07,Corbin Carroll,682998,656302,0,1,200.25,56.25
2024-08-12,Jo Adell,666176,643338,0,9,180,49.05
2024-04-26,Patrick Bailey,672275,670280,0,9,219.33,77.28
2024-04-05,Ryan O'Hearn,656811,683003,1,2,140.51,42.48
2024-07-04,Bobby Witt Jr.,677951,664126,2,9,18.74,77.88
2024-09-14,Sam Hilliard,656541,687863,2,9,191.62,45.88
2024-06-04,Jack Suwinski,669261,607192,1,3,218.95,78.68
2024-07-24,Matt Chapman,656305,607192,0,4,138.71,30.88
2024-07-20,Brent Rooker,667670,686799,1,1,43.14,52.22
2024-06-25,Bryce Harper,547180,671345,0,9,51.08,78.52
2024-06-17,Tyler O'Neill,641933,579328,2,1,22.58,66.37
2024-08-02,Wilyer Abreu,677800,570632,1,2,238.74,84.24
2024-06-27,George Springer,543807,607074,0,1,14.6,84.85
2024-09-10,Manny Machado,592518,669923,0,6,148.95,26.72
2024-08-20,Corbin Carroll,682998,665795,2,5,38.2,68.98
2024-09-05,Ty France,664034,650556,0,7,60.65,54.15
2024-10-17,David Fry,681807,605280,2,10,66.71,48.59
2024-08-17,Addison Barger,680718,605347,0,9,126.26,29.85
2024-06-24,Rhys Hoskins,656555,656641,0,6,19.86,76.11
2024-08-11,Jeff McNeil,643446,622491,2,6,217.83,91.3
2024-09-25,Byron Buxton,621439,665795,0,4,55.33,30.18
2024-08-06,CJ Abrams,682928,806185,1,2,194.32,58.17
2024-06-29,Ian Happ,664023,606303,0,8,185.15,50.77
2024-08-19,JJ Bleday,668709,671737,1,1,199.31,59.96
2024-07-06,Spencer Steer,668715,671345,0,9,96.51,29.59
2024-08-27,José Tena,677588,543037,0,4,155.56,37.94
2024-08-15,Keibert Ruiz,660688,689147,1,7,215.07,82.94
2024-04-28,Nick Senzel,669222,669622,2,5,84.63,37.88
2024-04-28,Christian Walker,572233,669302,0,2,49.97,45.39
2024-08-11,Dillon Dingler,693307,806185,2,2,148.58,36.45
2024-06-11,Tyler Soderstrom,691016,660853,1,8,103.47,30.18
2024-05-23,Matt Chapman,656305,676702,0,8,104.1,35.94
